DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__A1D8A03E2549AA9BBB14D25D58C22DB5DF625B64, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=16647, Duration=0.022274, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__AFBD176B0024CACEDD89C5FD04DBA1FA2128794D, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=6309, Duration=0.018060, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_14, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC4F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.13, Duration=29.742882, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdF2F671AF458A14CBA59115B53CDDDC26_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__75915B35B64D0748F43AA1CFEFA6A33478BFF803, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=65799, Duration=0.028893, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdE00D2EAE477F28BF1D4CDDB5C9DFC7EA_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__2A64CDF4F42A58D87EDA3946300B893AACC7FC54, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=16647, Duration=0.031903, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdC4D61F1C454E52502D595DB8F66DB5AF_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__47F0ABDC498713ED6F98BFB13D1B509E584A2F29, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=6604, Duration=0.018358, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_15, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.13, Duration=5.143910, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdE00D2EAE477F28BF1D4CDDB5C9DFC7EA_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__BCAC7ABACC5B5D4A6DC129FB4BB94D4A3E089E06, StartTime=2016.05.09-01.54.14, HierarchicalDDC=, DataSize=262405, Duration=0.084881, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__D20BFAB030FB8CFC04A0587A92BEDA874205D3CA, StartTime=2016.05.09-01.54.14, HierarchicalDDC=, DataSize=65797, Duration=0.041839, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdC4D61F1C454E52502D595DB8F66DB5AF_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__026BD0D5597652AED9C7644143EE6AB59FB39BB5, StartTime=2016.05.09-01.54.14, HierarchicalDDC=, DataSize=22958, Duration=0.028897, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
